"Filename","Expected_subdir","Description","Comments"
"physical_parameters_SENGAL_MA.csv","Param","Physical parameters (areas thickness and sediments)","Senegal_Gambia model data"
"physics_SENEGAL_MA_2060-2069-GFDL-ssp370.csv","Driving","Physics drivers (ocean inflows temperature etc)","Senegal_Gambia_2010-2015 data from NEMO-ERSEM and elsewhere"
"chemistry_SENEGAL_MA_2060-2069-GFDL-ssp370.csv","Driving","Chemistry drivers (boundary nutrients etc)","Senegal_Gambia_2010-2015 data from NEMO-ERSEM and elsewhere"
"initial_values_SENEGAL_MA_2060-2069-GFDL-ssp370.csv","Param","Initial state of each state variable","Data exported from end of run for stationary state Senegal_Gambia model"
"event_timing_SENEGAL_MA_2060-2069-GFDL-ssp370.csv","Param","Biological event timing parameters","Senegal_Gambia_spawning_recruitment_and_migratory_fish_timings_from_SEAPODYM_for_2010-2019"
"fixed_consumers_SENEGAL.csv","Param","Fixed parameters for consumer guilds","Mostly generic parameters for European temperate waters "
"fixed_miscellaneous.csv","Param","Fixed miscellaneous parameters (Q10s etc)","Miscellaneous fixed parameters for European temperate waters"
"fitted_preference_matrix_SENEGAL_GFDL.csv","Param","Fitted prey preference matrix","Senegal_Gambia fitted preference matrix"
"fitted_uptake_mort_rates_SENEGAL_GFDL.csv","Param","Fitted uptake and mortality parameters","Senegal_Gambia fitted parameters"
"fitted_microbiology_others_SENEGAL_GFDL.csv","Param","Fitted microibiology and other parameters","Senegal_Gambia fitted parameters"
"fishing_fleet_SENEGAL_2010-2019.csv","Param","Fishing fleet basic parameters","Senegal_Gambia fleet parameters for the 2010-2019 period (uses demersal discard rates from the csv file)"
"fishing_activity_SENEGAL_2010-2019.csv","Param","Fishing activity and seabed abrasion rates for each gear","Senegal_Gambia gear activity rates from from fisheries reports for the 2010-2019 period mostly"
"fishing_power_SENEGAL_2010-2019.csv","Param","Fishing power parameters for each gear and guild","Senegal_Gambia power parameters derived from 2010-2019 SAU data"
"fishing_discards_SENEGAL_2010-2019.csv","Param","Discard rates for each gear and guild","Senegal_Gambia discarding rate parameters derived from 2010-2019 SAU data"
"fishing_processing_SENEGAL.csv","Param","Processing at sea ratyes for each gear and guild","Senegal_Gambia processing-at-sea rate parameters - mostly a guess"
"fishing_distribution_SENEGAL_2010-2019.csv","Param","Spatial distribution of activity rates across habitats","Senegal_Gambia gear activity distributions partly a giess as no quantitative information"
"fishing_gear_multiplier.csv","Param","Gear activity multipiers","Multipliers to be applied to activity rates of gears (values >=0)"
"harvest_ratio_multiplier.csv","Param","Harvest ratio multipliers","Multipliers to be applied to guild harvest ratios (values >=0)"
"food_web_flow_matrix_template.csv","Param","Food web flow matrix template","Template file for the creation of a mass flow matrix for the final year of the model run"
"fishing_gear_linkages.csv","Param","Relationships between gear activity rates over time","NOT Senegal_Gambia _ North Sea estimates _ only required by fitting function to seek activity rates generating given patterns of harvest ratios"
"additional_mortality.csv","Param","Inshore and offshore mortality rates","Addition non-predation mortality rates to be applied to each guild in environmental pressure scenarios"
"uptake_multiplier.csv","Param","Inshore and offshore multipliers to be applied to uptake rates","Multipliers to be applied to the maximum uptake rate of each guild in environmental pressure scenarios"
"annual_observed_SENEGAL_2010-2019.csv","Target","Annual target data","Compilation of annual observational data on the mean state of the Senegal_Gambia during 2010-2019"
"monthly_observed_SENEGAL_2010-2019.csv","Target","Monthly target data"," Compilation of monthly observational data on the mean state of Senegal_Gambia during 2010-2019"
"region_harvest_r_NOT_SENGAL.csv","Target","Independently estimates guild harvest ratios","NOT Senegal_Gambia _ North Sea 2003-2013 guild HRs from ICES stock assessments and survey data and regional ecosystem review _  only required by utility function to calculate HRscale parameters given known regional harvest ratios"
"zonal_harvest_r_NOT_SENGAL.csv","Target","Inshore and offshore harvest ratios","NOT Senegal_Gambia _ North Sea 2003-2013 inshore and offshore harvest ratios genertaed by a prior run of the model  _ only required by fitting function to seek activity rates generating given patterns of harvest ratios"
